,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Hilo,US,77.61,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Lasem,ID,77.63,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
11,Manggar,ID,80.17,moderate rain,-2.8833,108.2667,Guest Hotel
15,Itarema,BR,85.5,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
25,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Takoradi,GH,77.86,overcast clouds,4.8845,-1.7554,Raybow International Hotel
33,Jamestown,US,88.18,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Bardiyah,LY,81.84,clear sky,31.7561,25.0865,بورتو بردية
44,Samarai,PG,78.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
46,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
48,La Victoria,VE,86.63,clear sky,10.2184,-67.3302,Hotel Hacienda El Recreo
51,Dodge City,US,79.23,clear sky,37.7528,-100.0171,Windsor Inn & Suites
54,Bara,NG,77.22,overcast clouds,10.3744,10.7288,
58,San Patricio,US,87.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
75,Vila Velha,BR,79.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
77,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
78,Piura,PE,83.07,scattered clouds,-5.2,-80.6333,Hotel El Sol
80,Panorama,GR,86.52,few clouds,40.5878,23.0315,Panorama Hotel
83,Hearst,CA,77.25,scattered clouds,49.6835,-83.6665,Companion
84,Atuona,PF,79.09,few clouds,-9.8,-139.0333,Villa Enata
87,Labuhan,ID,78.55,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
88,Wilmington,US,84.97,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
89,Axim,GH,78.4,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
91,Mangrol,IN,84.33,moderate rain,21.1167,70.1167,Hotel The Royal Honours
92,La Peca,PE,79.34,light rain,-5.6111,-78.435,Hospedaje San Miguelito
101,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
102,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
103,Tefe,BR,84.31,scattered clouds,-3.3542,-64.7114,Aracati Hotel
106,Georgetown,MY,81.95,scattered clouds,5.4112,100.3354,Cititel Penang
108,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
111,Lazaro Cardenas,MX,80.35,overcast clouds,17.9583,-102.2,quinta antigua
113,Shahrud,IR,80.29,scattered clouds,36.4182,54.9763,Royal Hotel
118,Dhrol,IN,84.24,overcast clouds,22.5667,70.4167,Marknday Holiday
123,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
128,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
130,Balabac,PH,81.12,broken clouds,7.9868,117.0645,Sing and Swing Lodge
134,Makakilo City,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
135,Houma,US,87.8,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
136,Caravelas,BR,77.13,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Dianalund,DK,75.29,clear sky,55.5313,11.4925,Patienthotel
140,Sur,OM,87.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
141,Hithadhoo,MV,83.05,scattered clouds,-0.6,73.0833,Scoop Guest House
144,Vanimo,PG,77.68,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
146,Luwuk,ID,75.38,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
148,Hornostayivka,UA,75.04,broken clouds,47.0078,33.729,
149,Bairiki,KI,77.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
150,Alice Town,BS,81.91,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
151,Amapa,BR,89.1,scattered clouds,1.0,-52.0,
152,Dinhata,IN,80.65,broken clouds,26.1333,89.4667,Hotel Riya
153,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
154,Lubliniec,PL,79.29,broken clouds,50.669,18.6844,Hotel Zamek Lubliniec
156,Sao Filipe,CV,75.81,few clouds,14.8961,-24.4956,Hotel Xaguate
159,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
167,Port Blair,IN,82.38,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
170,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
172,Saint Anthony,US,85.91,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
176,Weligama,LK,78.28,scattered clouds,5.9667,80.4167,Weligama Bay Resort
183,Troyes,FR,75.54,light rain,48.3333,4.0833,Logis Hôtel des Sources
187,Palora,EC,78.78,light rain,-1.7,-77.9333,Rancho grande
188,Matadi,CD,80.8,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
189,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
190,Santiago De Cuba,CU,89.22,few clouds,20.0247,-75.8219,Cubanacan San Felix
195,Crossville,US,86.25,broken clouds,35.949,-85.0269,Hampton Inn Crossville
198,Chebenki,RU,82.15,scattered clouds,51.9337,55.7077,
200,Bubaque,GW,80.87,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
207,Mikhaylovka,RU,76.23,scattered clouds,50.06,43.2379,5 Komnat
209,Ostroleka,PL,75.69,overcast clouds,53.0862,21.5757,Pokoje Gościnne WSAP
210,Smithers,CA,79.12,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
211,Kula,TR,79.68,clear sky,38.5473,28.6498,Anemon Kula Hotel
212,Nieuw Nickerie,SR,80.51,scattered clouds,5.95,-56.9833,Ishwardat Inn
216,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
222,Agadir,MA,81.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
223,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
234,Balti,MD,80.65,scattered clouds,47.7617,27.9289,Apartment in Balti
242,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
245,Wajir,KE,82.26,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
246,Nizhniy Baskunchak,RU,84.47,overcast clouds,48.2198,46.8311,Arman hotel
248,Sao Jose Da Coroa Grande,BR,78.87,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
249,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
250,Beloeil,CA,89.4,broken clouds,45.5668,-73.1992,Manoir Rouville Campbell
257,Lasa,IT,82.31,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
260,Weiz,AT,86.05,scattered clouds,47.2167,15.6167,Hotel Restaurant Allmer
262,Osterburg,DE,85.5,broken clouds,52.7833,11.7667,Altmarkhotel
265,Kimbe,PG,75.78,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
268,Irece,BR,76.93,broken clouds,-11.3042,-41.8558,RADAR INN HOTEL
271,Torbat-E Jam,IR,82.78,clear sky,35.244,60.6225,White building
272,Pilar,BR,80.53,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
273,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
279,Puerto Leguizamo,CO,82.87,scattered clouds,-0.1934,-74.7819,la casona de juancho
280,Idah,NG,76.35,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
283,Komsomolskiy,UZ,86.72,scattered clouds,40.4272,71.7189,Ikathouse
285,Namuac,PH,79.39,overcast clouds,18.6109,121.1657,Mlin Hotel
287,Monticello,US,85.95,broken clouds,45.3055,-93.7941,Super 8 by Wyndham Monticello
289,Surt,LY,84.16,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
290,Sabang,ID,83.32,scattered clouds,5.8933,95.3214,Hotel Citra
291,Namatanai,PG,79.38,light rain,-3.6667,152.4333,Seagulls Inn Namatani
293,Soledad,CO,89.73,few clouds,10.9184,-74.7646,Cochi y Cocho
297,Verkhnyaya Khava,RU,77.07,scattered clouds,51.8404,39.9413,Gostinitsa
301,Manzanillo,CU,88.29,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
303,Kalmunai,LK,81.57,broken clouds,7.4167,81.8167,VS Villa
310,Maragogi,BR,78.4,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
311,Nantucket,US,86.97,clear sky,41.2835,-70.0995,Jared Coffin House
313,Caxito,AO,75.85,broken clouds,-8.5785,13.6643,
314,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
318,Kutum,SD,86.85,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
327,Sibolga,ID,75.27,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
338,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
340,Springfield,US,85.89,broken clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
344,Balakovo,RU,80.94,few clouds,52.0278,47.8007,Victoria Hotel
348,Marsh Harbour,BS,82.78,clear sky,26.5412,-77.0636,Abaco Beach Resort
349,Tra Vinh,VN,77.0,scattered clouds,9.9347,106.3453,Hồng Ân
352,Landeck,AT,79.54,overcast clouds,47.1301,10.5636,Hotel Jägerhof
353,Arlington,US,87.53,broken clouds,32.7357,-97.1081,Days Inn by Wyndham Arlington Six Flags/AT&T Stadium
355,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
356,Faanui,PF,80.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
357,Jinji,CN,79.34,overcast clouds,23.2281,110.8261,
362,Nikolayevka,RU,76.78,few clouds,53.1257,47.2041,Отель Наталья
366,Muskogee,US,84.27,overcast clouds,35.5834,-95.3336,
370,Tucurui,BR,89.1,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
373,La Ronge,CA,82.62,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
375,Caronport,CA,79.68,clear sky,50.4501,-105.8179,Pilgrim Inn
376,Rincon,US,83.21,overcast clouds,32.296,-81.2354,Days Inn Rincon
377,Cabo Rojo,PR,88.25,overcast clouds,18.0866,-67.1457,Hotel Perichi's
380,Tulsipur,NP,83.07,scattered clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
382,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
388,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
389,Shache,CN,84.09,overcast clouds,38.4167,77.2406,Delong Hotel
393,Princeton,US,87.03,light rain,25.5384,-80.4089,American Best Inn
399,Eyl,SO,78.3,overcast clouds,7.9803,49.8164,Amiin Hotel
401,Abu Samrah,SY,87.51,clear sky,35.3029,37.1841,
402,Waingapu,ID,75.54,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
403,Sale,MA,75.63,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
404,Cayenne,GF,86.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
406,Lagos,NG,77.18,light rain,6.5833,3.75,
407,Ahuimanu,US,78.78,broken clouds,21.4447,-157.8378,Paradise Bay Resort
409,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
410,Dingle,PH,76.75,clear sky,10.9995,122.6711,SEGAYA PROPERTY
411,Hengshui,CN,84.4,scattered clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
417,Guaratinga,BR,75.87,broken clouds,-16.5667,-39.5667,Hotel Caraíva
418,Limbang,MY,77.31,overcast clouds,4.75,115.0,Purnama Hotel
420,Pital,CO,81.12,few clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
424,Ketchikan,US,76.86,clear sky,55.3422,-131.6461,Snows Cove Lodge
426,Macae,BR,87.55,clear sky,-22.3708,-41.7869,Personal Hotel
429,Bucerias,MX,80.58,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
430,Nabire,ID,75.02,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
431,Sydney Mines,CA,81.09,broken clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
433,Prilep,MK,86.47,few clouds,41.3464,21.5544,Guest House Antika
436,Parnamirim,BR,85.89,scattered clouds,-5.9156,-35.2628,Pousada Joaci
443,Fria,GN,80.51,light rain,10.4167,-13.5833,
447,San Carlos,VE,87.64,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
448,Torgelow,DE,84.51,clear sky,53.6333,14.0167,Hotels Zum Forsthaus
450,Novoorsk,RU,81.25,few clouds,51.381,58.9813,Gostevoi dom >
452,Monte Azul,BR,84.25,clear sky,-15.155,-42.8747,Hotel Delfino
453,Mweka,CD,76.51,scattered clouds,-4.85,21.5667,Guest House Boshab
455,Garowe,SO,84.47,broken clouds,8.4054,48.4845,Curubo Hotel
456,Kotaparh,IN,78.82,overcast clouds,19.15,82.35,Bablu Bikash Marg
457,San Jose,US,82.53,few clouds,37.3394,-121.895,The Westin San Jose
458,Ugoofaaru,MV,83.1,broken clouds,5.6667,73.0,Ungoofaaru Inn
459,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
460,Erenhot,CN,76.62,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
462,Harper,LR,78.13,light rain,4.375,-7.7169,Screensaver
464,Teacapan,MX,80.98,overcast clouds,22.55,-105.75,Hotel los Mangos
466,Catuday,PH,81.25,overcast clouds,16.2923,119.8062,GResort
467,Inongo,CD,76.82,overcast clouds,-1.95,18.2667,Hotel Du Lac
469,Ardesen,TR,75.16,broken clouds,41.1911,40.9875,Green Suada Hotel
472,Fort Nelson,CA,78.39,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
475,Beihai,CN,85.15,overcast clouds,21.4833,109.1,21 Degree Hostel
476,Shubarkuduk,KZ,83.79,clear sky,49.1447,56.4872,Sirius
477,Tikapur,NP,89.04,scattered clouds,28.5,81.1333,BANANA AGRO RESORT
479,Damietta,EG,84.09,clear sky,31.4165,31.8133,SULIMAN INN
480,Dzerzhinsk,RU,82.22,scattered clouds,56.2389,43.4631,Hotel Druzhba
482,Wainwright,CA,82.31,clear sky,52.839,-110.8572,Ramada by Wyndham Wainwright
484,Olds,CA,88.9,clear sky,51.7834,-114.102,Ramada by Wyndham Olds
487,Bandarbeyla,SO,77.74,scattered clouds,9.4942,50.8122,JABIR HOTEL
492,Tongchuan,CN,78.84,few clouds,35.0806,109.0897,Tongchuan Hotel
494,San Cristobal,VE,84.38,few clouds,7.7669,-72.225,Posada Villaven C.A.
495,Ipixuna,BR,84.15,broken clouds,-1.7625,-48.8043,Casa da Oscarina
497,Ouesso,CG,76.57,overcast clouds,1.6136,16.0517,Hôtel LAVOUMA suite
498,Leon,MX,75.15,overcast clouds,21.1167,-101.6667,Hotel Misión León
500,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
501,Penhold,CA,84.94,clear sky,52.1334,-113.8687,Harvard Park Business Ctr Ltd
502,Hirara,JP,82.71,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
504,Sulangan,PH,83.75,clear sky,11.1373,123.7228,Maia's Beach Resort
508,Lorengau,PG,81.16,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
509,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
510,Iralaya,HN,82.49,broken clouds,15.0,-83.2333,Iglesia morava renovada
511,Lusambo,CD,80.8,scattered clouds,-4.9667,23.45,
515,Kalianget,ID,81.36,few clouds,-7.05,113.9333,Pesanggrahan Garam
516,Jasper,US,80.65,few clouds,37.2001,-94.3502,Guest House Motel
519,Hai Duong,VN,89.71,overcast clouds,20.9333,106.3167,Chau A Hotel
521,Chaohu,CN,77.11,clear sky,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
525,Manuk Mangkaw,PH,83.1,few clouds,4.8,119.85,
527,Mut,TR,87.35,clear sky,36.6439,33.4389,Konak Otel
528,Aksu,CN,82.51,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
529,Pedernales,DO,88.93,overcast clouds,18.0384,-71.744,Hotel Costa Marina
533,Tallahassee,US,86.32,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
538,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
541,Nago,JP,81.03,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
542,Seybaplaya,MX,85.46,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
547,Guantanamo,CU,89.17,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
550,Mazatlan,MX,87.03,broken clouds,23.2167,-106.4167,Hotel Club Playamar
551,Ormara,PK,82.69,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
552,Valleyview,CA,84.24,clear sky,55.0667,-117.2859,Paradise Inn & Suites
554,Sheridan,US,75.58,clear sky,44.8333,-106.9173,Comfort Inn & Suites
556,Booue,GA,77.31,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
557,Pekan,MY,75.31,moderate rain,3.4836,103.3996,Pekan Budget Hotel
560,Baijiantan,CN,76.08,clear sky,45.6333,85.1833,
563,Lodja,CD,83.53,broken clouds,-3.4833,23.4333,
568,Tautira,PF,75.22,broken clouds,-17.7333,-149.15,Pension Oaoa
570,San Policarpo,PH,78.8,clear sky,12.1791,125.5072,JM Lodge
572,Russell,US,87.91,scattered clouds,32.3502,-85.1999,Macs
574,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
576,Banda Aceh,ID,79.97,broken clouds,5.5577,95.3222,Sulthan Hotel International
577,Narasapur,IN,83.21,scattered clouds,16.45,81.6667,TCI Xps
578,Wahiawa,US,75.79,clear sky,21.5028,-158.0236,Aloha Wahiawa
579,Elko,US,86.74,clear sky,41.0002,-115.5012,
581,Nong Chik,TH,77.5,broken clouds,6.8436,101.178,Bakkahland Farm and Resort
582,Flin Flon,CA,78.64,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
587,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
592,Biltine,TD,80.31,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
596,Bay Saint Louis,US,89.33,broken clouds,30.3088,-89.33,The Abode Guest House
602,Lerik,AZ,79.52,broken clouds,38.7726,48.4128,Hotel Lerik
606,Pamekasan,ID,79.27,scattered clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
608,Birao,CF,82.13,broken clouds,10.2849,22.7882,
609,Nagua,DO,89.46,overcast clouds,19.3832,-69.8474,Hotel Cambri
610,Sangueya,GN,83.82,scattered clouds,10.7,-14.3667,
611,Rowlett,US,87.67,broken clouds,32.9029,-96.5639,Chiesa Estates
614,Grimshaw,CA,87.03,clear sky,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
616,South Milwaukee,US,76.5,overcast clouds,42.9106,-87.8606,Hilton Garden Inn Milwaukee Airport
617,Sola,VU,79.65,broken clouds,-13.8833,167.55,Leumerus Bungalows
619,Gizo,SB,80.28,overcast clouds,-8.103,156.8419,Imagination Island
620,Goalpara,IN,78.44,broken clouds,26.1667,90.6167,SPOT ON 66402 Hotel Moon Moon
621,Lahij,YE,89.35,scattered clouds,13.1667,44.5833,
623,Jelenia Gora,PL,79.7,overcast clouds,50.8997,15.729,Hotel BARON Karczma Grodzka
624,Guane,CU,89.29,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
627,La Romana,DO,85.73,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
628,Trairi,BR,85.68,clear sky,-3.2778,-39.2689,janelas do mar
630,Grand-Lahou,CI,78.55,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
632,Wanlaweyn,SO,76.08,broken clouds,2.6185,44.8938,GAASHAAN HOME
633,Amahai,ID,76.64,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
634,Emba,KZ,84.81,clear sky,48.8264,58.1442,
637,Kynsperk Nad Ohri,CZ,82.38,overcast clouds,50.1189,12.5303,Penzion Jahoda
642,Aleksandrovka,UA,78.91,broken clouds,46.8383,32.7612,
643,Saquena,PE,81.01,broken clouds,-4.6667,-73.5167,
649,Waycross,US,82.63,broken clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
652,Helena,US,85.32,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
655,Kulhudhuffushi,MV,83.26,broken clouds,6.6221,73.07,Hondaafushi Island Resort
660,Krasnogvardeyskoye,RU,78.04,overcast clouds,45.8456,41.5186,Staraya Mel'nitsa Gostinitsa
662,Lachi,PK,88.34,clear sky,33.3833,71.3386,Stil sadabahar
663,Pacific Grove,US,81.81,haze,36.6177,-121.9166,Lovers Point Inn
664,Bom Jesus Da Lapa,BR,86.79,clear sky,-13.255,-43.4181,Hotel das Nações
666,Avera,US,89.47,few clouds,33.194,-82.5271,
672,Niquero,CU,84.38,overcast clouds,20.0431,-77.5828,Islazul Niquero
