City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ancud,CL,2022-01-07 07:31:45,-41.8697,-73.8203,56.73,95,1,0.25
1,Saskylakh,RU,2022-01-07 07:31:45,71.9167,114.0833,-23.19,100,100,2.73
2,Cabo San Lucas,MX,2022-01-07 07:30:58,22.8909,-109.9124,69.51,75,3,1.01
3,Cape Town,ZA,2022-01-07 07:29:42,-33.9258,18.4232,80.11,59,0,5.99
4,Daguma,PH,2022-01-07 07:31:46,6.5867,124.5472,87.33,61,73,2.53
5,Puerto Ayora,EC,2022-01-07 07:31:46,-0.7393,-90.3518,70.61,89,18,5.57
6,Bethel,US,2022-01-07 07:31:47,41.3712,-73.414,30.04,89,100,1.99
7,Ust-Tarka,RU,2022-01-07 07:31:47,55.5672,75.705,14.54,88,49,13.53
8,Vao,NC,2022-01-07 07:31:47,-22.6667,167.4833,77.11,66,11,20.09
9,Saint George,US,2022-01-07 07:30:13,37.1041,-113.5841,41.32,64,0,3.62
10,Rikitea,PF,2022-01-07 07:31:48,-23.1203,-134.9692,77.34,72,70,13.18
11,Fez,MA,2022-01-07 07:31:48,34.0372,-4.9998,39.45,93,0,8.05
12,Ushuaia,AR,2022-01-07 07:31:48,-54.8,-68.3,46.06,57,40,8.05
13,Barrow,US,2022-01-07 07:31:49,71.2906,-156.7887,-2.18,71,75,9.22
14,West Helena,US,2022-01-07 07:31:49,34.5507,-90.6418,26.6,71,93,9.51
15,Olafsvik,IS,2022-01-07 07:31:49,64.8945,-23.7142,39.96,71,100,21.47
16,Poniatowa,PL,2022-01-07 07:31:50,51.1798,22.1309,27.32,75,5,9.55
17,Denpasar,ID,2022-01-07 07:31:50,-8.65,115.2167,85.71,70,40,10.36
18,Antalaha,MG,2022-01-07 07:31:50,-14.9003,50.2788,83.34,68,92,4.97
19,San Quintin,MX,2022-01-07 07:31:51,30.4833,-115.95,57.85,75,0,2.93
20,Avera,US,2022-01-07 07:31:51,33.194,-82.5271,42.31,74,2,12.97
21,Norrtalje,SE,2022-01-07 07:31:51,59.758,18.705,15.08,88,5,3.98
22,Busselton,AU,2022-01-07 07:31:51,-33.65,115.3333,95.09,39,0,12.75
23,Tazovskiy,RU,2022-01-07 07:31:52,67.4667,78.7,-13.56,84,100,15.93
24,Najran,SA,2022-01-07 07:31:52,17.4924,44.1277,61.45,38,26,3.74
25,Qaanaaq,GL,2022-01-07 07:31:52,77.484,-69.3632,2.93,61,61,6.42
26,Bengkulu,ID,2022-01-07 07:31:53,-3.8004,102.2655,84.65,69,40,7.78
27,Vestmannaeyjar,IS,2022-01-07 07:31:53,63.4427,-20.2734,40.59,61,79,16.22
28,Ambovombe,MG,2022-01-07 07:31:53,-25.1667,46.0833,80.83,69,54,14.76
29,Yellowknife,CA,2022-01-07 07:28:19,62.456,-114.3525,-4.72,97,68,8.7
30,Richards Bay,ZA,2022-01-07 07:31:54,-28.783,32.0377,81.3,67,56,5.28
31,North Bend,US,2022-01-07 07:31:54,43.4065,-124.2243,51.94,93,100,10.36
32,Mehran,IR,2022-01-07 07:31:54,33.1222,46.1646,67.48,30,4,0.13
33,Saint-Philippe,RE,2022-01-07 07:31:55,-21.3585,55.7679,83.75,75,100,10.04
34,Santa Fe,AR,2022-01-07 07:30:10,-31.6333,-60.7,71.02,57,0,1.99
35,Hualmay,PE,2022-01-07 07:31:55,-11.0964,-77.6139,68.83,90,100,7.0
36,Millinocket,US,2022-01-07 07:31:55,45.6573,-68.7098,26.71,74,0,0.0
37,Sao Filipe,CV,2022-01-07 07:31:56,14.8961,-24.4956,73.36,68,88,8.3
38,Dikson,RU,2022-01-07 07:31:56,73.5069,80.5464,-23.87,100,99,12.97
39,Kamogawa,JP,2022-01-07 07:31:56,35.1,140.1,48.13,43,67,7.76
40,Pemba,MZ,2022-01-07 07:31:57,-12.974,40.5178,88.5,70,75,9.22
41,Merauke,ID,2022-01-07 07:31:57,-8.4667,140.3333,80.82,84,100,11.59
42,Otacilio Costa,BR,2022-01-07 07:31:57,-27.4831,-50.1219,52.77,95,77,1.92
43,Constitucion,CL,2022-01-07 07:31:58,-35.3333,-72.4167,57.67,81,0,2.26
44,Narsaq,GL,2022-01-07 07:31:58,60.9167,-46.05,14.22,72,0,8.41
45,Avarua,CK,2022-01-07 07:31:58,-21.2078,-159.775,78.85,89,20,2.3
46,Nenjiang,CN,2022-01-07 07:32:58,49.1833,125.2167,-3.89,99,90,3.33
47,Butaritari,KI,2022-01-07 07:32:59,3.0707,172.7902,82.27,77,84,16.8
48,Jamestown,US,2022-01-07 07:30:11,42.097,-79.2353,22.59,90,100,1.99
49,Dolores,AR,2022-01-07 07:32:59,-36.3132,-57.6792,59.16,80,7,6.22
50,Airai,TL,2022-01-07 07:33:00,-8.9266,125.4092,65.55,90,99,2.19
51,Mar Del Plata,AR,2022-01-07 07:29:10,-38.0023,-57.5575,66.09,81,100,5.01
52,Hilo,US,2022-01-07 07:29:55,19.7297,-155.09,71.33,87,20,0.0
53,Sapa,PH,2022-01-07 07:33:00,5.1544,120.3241,82.67,73,53,5.59
54,Henties Bay,NA,2022-01-07 07:33:00,-22.116,14.2845,59.86,72,14,5.61
55,Kallaste,EE,2022-01-07 07:33:01,58.655,27.1592,23.23,74,100,17.05
56,Shalakusha,RU,2022-01-07 07:33:01,62.2247,40.2539,8.26,93,100,5.53
57,Tasiilaq,GL,2022-01-07 07:33:02,65.6145,-37.6368,35.76,68,100,29.1
58,Faya,SA,2022-01-07 07:33:02,18.3851,42.4509,59.52,61,54,8.43
59,Broome,US,2022-01-07 07:33:02,42.2506,-75.833,25.86,78,100,3.0
60,Tatawin,TN,2022-01-07 07:33:03,32.9297,10.4518,47.28,63,100,10.25
61,Atuona,PF,2022-01-07 07:33:03,-9.8,-139.0333,77.74,77,84,13.58
62,Mataura,NZ,2022-01-07 07:33:03,-46.1927,168.8643,59.49,76,73,4.16
63,Lebu,CL,2022-01-07 07:33:04,-37.6167,-73.65,56.16,96,29,13.44
64,Jalu,LY,2022-01-07 07:33:04,29.0331,21.5482,60.96,37,0,8.88
65,Sokode,TG,2022-01-07 07:33:04,8.9833,1.1333,79.23,27,2,1.83
66,Polyarnyy,RU,2022-01-07 07:33:04,69.1989,33.4478,14.47,64,100,22.55
67,Lavrentiya,RU,2022-01-07 07:33:05,65.5833,-171.0,5.59,84,10,8.23
68,Tuktoyaktuk,CA,2022-01-07 07:33:05,69.4541,-133.0374,-13.23,95,100,22.97
69,Nikolskoye,RU,2022-01-07 07:33:05,59.7035,30.7861,10.4,98,75,4.94
70,Carnarvon,AU,2022-01-07 07:33:06,-24.8667,113.6333,86.07,66,2,19.57
71,Rio Gallegos,AR,2022-01-07 07:31:26,-51.6226,-69.2181,46.45,71,0,1.14
72,Camacha,PT,2022-01-07 07:33:06,33.0833,-16.3333,60.53,72,40,12.66
73,Lanivtsi,UA,2022-01-07 07:32:59,49.8633,26.0908,27.68,72,74,13.49
74,Magnor,SE,2022-01-07 07:33:06,59.9511,12.1996,24.42,96,100,6.8
75,Sept-Iles,CA,2022-01-07 07:29:59,50.2001,-66.3821,-4.95,75,84,5.01
76,Severo-Kurilsk,RU,2022-01-07 07:33:07,50.6789,156.125,26.87,82,77,4.79
77,Bluff,NZ,2022-01-07 07:33:07,-46.6,168.3333,59.81,77,79,5.99
78,Grand Gaube,MU,2022-01-07 07:33:08,-20.0064,57.6608,81.0,79,100,5.01
79,Moussoro,TD,2022-01-07 07:33:08,13.6408,16.4901,78.58,14,15,10.65
80,Esperance,AU,2022-01-07 07:33:08,-33.8667,121.9,76.84,59,0,22.08
81,Balkanabat,TM,2022-01-07 07:33:08,39.5108,54.3671,57.25,25,3,10.63
82,Qasigiannguit,GL,2022-01-07 07:33:09,68.8193,-51.1922,19.65,95,100,7.67
83,Ponta Do Sol,PT,2022-01-07 07:33:09,32.6667,-17.1,64.71,70,43,7.18
84,Maracaju,BR,2022-01-07 07:33:09,-21.6144,-55.1683,74.53,64,81,4.47
85,Dzialdowo,PL,2022-01-07 07:33:10,53.2396,20.17,19.17,89,56,11.36
86,Kodiak,US,2022-01-07 07:33:10,57.79,-152.4072,25.52,89,36,6.42
87,Prince Rupert,CA,2022-01-07 07:33:10,54.3161,-130.3201,11.61,88,94,5.66
88,Great Yarmouth,GB,2022-01-07 07:29:33,52.6083,1.7305,39.24,79,17,19.62
89,Hasaki,JP,2022-01-07 07:33:11,35.7333,140.8333,46.29,40,1,11.14
90,East London,ZA,2022-01-07 07:33:11,-33.0153,27.9116,72.54,94,100,12.66
91,Barabinsk,RU,2022-01-07 07:32:06,55.3571,78.357,14.09,89,95,9.4
92,Aldan,RU,2022-01-07 07:34:11,58.6031,125.3894,-23.96,88,19,5.28
93,Albany,US,2022-01-07 07:32:08,42.6001,-73.9662,27.48,84,100,4.25
94,Makakilo City,US,2022-01-07 07:34:12,21.3469,-158.0858,71.92,80,75,3.44
95,Vaini,TO,2022-01-07 07:34:12,-21.2,-175.2,80.76,94,75,9.22
96,Virden,US,2022-01-07 07:33:49,39.5009,-89.7679,6.49,71,99,12.95
97,Tabuk,PH,2022-01-07 07:34:12,17.4189,121.4443,79.84,67,62,3.27
98,Punta Arenas,CL,2022-01-07 07:33:00,-53.15,-70.9167,46.51,71,0,2.3
99,Parrita,CR,2022-01-07 07:34:13,9.5201,-84.3225,76.77,72,100,3.69
100,Provideniya,RU,2022-01-07 07:34:13,64.3833,-173.3,15.06,82,18,11.61
101,Kapaa,US,2022-01-07 07:34:13,22.0752,-159.319,70.12,80,0,5.75
102,Adrar,MR,2022-01-07 07:34:14,20.5022,-10.0711,55.33,45,97,6.02
103,Hermanus,ZA,2022-01-07 07:34:14,-34.4187,19.2345,81.9,77,100,20.04
104,Wanning,CN,2022-01-07 07:34:14,18.8003,110.3967,72.43,80,100,12.48
105,Sur,OM,2022-01-07 07:34:15,22.5667,59.5289,70.99,44,0,23.78
106,Mount Isa,AU,2022-01-07 07:34:15,-20.7333,139.5,101.97,8,0,12.66
107,Saldanha,ZA,2022-01-07 07:34:15,-33.0117,17.9442,66.25,64,3,0.22
108,Izumo,JP,2022-01-07 07:34:16,35.3667,132.7667,44.55,57,40,5.75
109,Killybegs,IE,2022-01-07 07:34:16,54.6333,-8.45,34.45,66,100,21.9
110,Kandrian,PG,2022-01-07 07:34:16,-6.2167,149.55,79.05,81,100,13.87
111,Stephenville Crossing,CA,2022-01-07 07:30:13,48.5,-58.4318,21.22,83,61,12.33
112,Benidorm,ES,2022-01-07 07:32:49,38.5382,-0.131,47.77,47,1,0.92
113,Yerbogachen,RU,2022-01-07 07:34:17,61.2767,108.0108,-5.89,98,100,5.3
114,Thompson,CA,2022-01-07 07:34:17,55.7435,-97.8558,-20.04,93,63,7.7
115,Guarda,PT,2022-01-07 07:34:17,40.5373,-7.2658,32.23,96,0,4.41
116,Chokurdakh,RU,2022-01-07 07:34:18,70.6333,147.9167,-20.97,95,95,3.87
117,Tuatapere,NZ,2022-01-07 07:34:18,-46.1333,167.6833,59.83,82,95,5.03
118,Bambous Virieux,MU,2022-01-07 07:34:18,-20.3428,57.7575,80.85,83,75,11.5
119,Arraial Do Cabo,BR,2022-01-07 07:34:19,-22.9661,-42.0278,73.87,94,100,10.83
120,Baykit,RU,2022-01-07 07:34:19,61.67,96.37,-16.28,99,64,2.8
121,Kuldur,RU,2022-01-07 07:34:19,49.2167,131.6333,2.88,98,100,2.37
122,Kahului,US,2022-01-07 07:30:58,20.8947,-156.47,73.85,87,0,4.61
123,Muros,ES,2022-01-07 07:34:20,42.7762,-9.0603,53.83,95,13,10.58
124,Longyearbyen,SJ,2022-01-07 07:34:20,78.2186,15.6401,10.24,72,20,25.32
125,Iqaluit,CA,2022-01-07 07:29:49,63.7506,-68.5145,-22.36,94,100,8.14
126,San Cristobal,VE,2022-01-07 07:34:21,7.7669,-72.225,60.94,63,97,1.97
127,San Rafael,AR,2022-01-07 07:30:37,-34.6177,-68.3301,69.21,55,14,7.11
128,Cherskiy,RU,2022-01-07 07:34:21,68.75,161.3,-7.04,95,100,2.59
129,Ormara,PK,2022-01-07 07:34:21,25.2088,64.6357,66.61,45,0,13.71
130,Tazmalt,DZ,2022-01-07 07:34:22,36.3868,4.3989,42.46,88,75,4.27
131,Soyo,AO,2022-01-07 07:34:22,-6.1349,12.3689,78.85,79,75,4.99
132,Dandong,CN,2022-01-07 07:29:56,40.1292,124.3947,31.59,32,0,3.31
133,Wasilla,US,2022-01-07 07:34:22,61.5814,-149.4394,3.94,76,0,0.0
134,Polis,CY,2022-01-07 07:34:23,35.0367,32.4264,61.29,75,96,0.29
135,Ilulissat,GL,2022-01-07 07:34:23,69.2167,-51.1,19.42,93,100,13.8
136,Weligama,LK,2022-01-07 07:34:23,5.9667,80.4167,86.61,60,73,5.5
137,Veraval,IN,2022-01-07 07:35:24,20.9,70.3667,76.17,63,0,8.63
138,Crotone,IT,2022-01-07 07:31:57,39.0851,17.1178,53.55,93,0,9.22
139,Rodrigues Alves,BR,2022-01-07 07:35:24,-7.738,-72.6509,72.63,83,98,2.06
140,La Paz,BO,2022-01-07 07:35:25,-16.5,-68.15,44.58,100,75,12.66
141,Hobart,AU,2022-01-07 07:35:10,-42.8794,147.3294,74.23,93,75,6.91
142,Makat,KZ,2022-01-07 07:35:25,47.6469,53.3463,39.54,89,100,16.26
143,Port Alfred,ZA,2022-01-07 07:35:25,-33.5906,26.891,69.94,92,100,16.58
144,Bredasdorp,ZA,2022-01-07 07:35:26,-34.5322,20.0403,70.29,81,100,19.82
145,Ahipara,NZ,2022-01-07 07:35:26,-35.1667,173.1667,67.08,92,73,5.53
146,Santa Rosalia,MX,2022-01-07 07:35:26,27.3167,-112.2833,61.09,49,19,0.72
147,Asau,RO,2022-01-07 07:35:27,46.4333,26.4,31.95,72,88,1.97
148,Samoylovka,RU,2022-01-07 07:35:27,51.184,43.7081,32.41,98,100,11.68
149,Los Llanos De Aridane,ES,2022-01-07 07:35:27,28.6585,-17.9182,60.55,86,75,18.41
150,Hohhot,CN,2022-01-07 07:34:57,40.8106,111.6522,34.09,60,20,4.47
151,Atar,MR,2022-01-07 07:35:28,20.5169,-13.0499,59.94,42,100,7.87
152,Perth,AU,2022-01-07 07:35:28,-31.9333,115.8333,103.14,21,0,8.05
153,Gogrial,SS,2022-01-07 07:35:28,8.5332,28.1004,86.95,20,100,8.39
154,Adelaide,AU,2022-01-07 07:35:28,-34.9333,138.6,70.21,75,75,7.0
155,Dagana,MR,2022-01-07 07:35:29,16.5165,-15.5068,66.34,18,100,10.27
156,Marsabit,KE,2022-01-07 07:35:29,2.3284,37.9899,72.73,62,100,18.61
157,Hithadhoo,MV,2022-01-07 07:35:29,-0.6,73.0833,81.32,74,100,6.73
158,Cockburn Town,TC,2022-01-07 07:35:30,21.4612,-71.1419,77.58,78,11,14.65
159,Geraldton,AU,2022-01-07 07:31:07,-28.7667,114.6,86.41,42,0,14.97
160,Rengasdengklok,ID,2022-01-07 07:35:30,-6.1592,107.2981,94.12,61,100,10.42
161,Nkowakowa,ZA,2022-01-07 07:35:30,-23.8878,30.2871,68.05,64,100,4.29
162,Faanui,PF,2022-01-07 07:35:31,-16.4833,-151.75,81.95,75,11,14.29
163,Honiara,SB,2022-01-07 07:35:31,-9.4333,159.95,80.08,79,86,6.13
164,Kudahuvadhoo,MV,2022-01-07 07:35:31,2.6708,72.8944,81.55,77,65,11.7
165,Khatanga,RU,2022-01-07 07:35:32,71.9667,102.5,-25.6,97,88,7.63
166,Fukuma,JP,2022-01-07 07:35:32,33.7667,130.4667,53.15,47,34,5.14
167,Nuuk,GL,2022-01-07 07:35:32,64.1835,-51.7216,21.81,73,20,11.5
168,Telimele,GN,2022-01-07 07:35:33,10.9167,-13.3333,66.6,52,2,1.99
169,Caravelas,BR,2022-01-07 07:35:33,-17.7125,-39.2481,75.72,88,100,8.43
170,Sioux Lookout,CA,2022-01-07 07:35:33,50.1001,-91.917,-26.52,100,96,2.55
171,Banda Aceh,ID,2022-01-07 07:35:34,5.5577,95.3222,84.16,70,100,6.06
172,Borba,BR,2022-01-07 07:35:34,-4.3878,-59.5939,73.62,99,100,1.21
173,Ribeira Grande,PT,2022-01-07 07:35:34,38.5167,-28.7,55.8,62,75,9.22
174,Middle Island,US,2022-01-07 07:35:35,40.8843,-72.9373,33.89,85,100,4.0
175,Lvov,UA,2022-01-07 07:31:59,49.8383,24.0232,25.18,80,0,6.71
176,Camalu,MX,2022-01-07 07:35:35,30.85,-116.0667,57.72,71,0,2.68
177,Poso,ID,2022-01-07 07:35:35,-1.3959,120.7524,83.55,71,98,3.85
178,Boyolangu,ID,2022-01-07 07:35:36,-8.1181,111.8935,81.41,74,95,9.82
179,Ossora,RU,2022-01-07 07:35:36,59.2353,163.0719,15.8,69,100,11.7
180,Slatina,RO,2022-01-07 07:35:36,44.4333,24.3667,39.09,77,100,6.76
181,Fortuna,US,2022-01-07 07:35:37,40.5982,-124.1573,53.92,85,100,3.0
182,Maniitsoq,GL,2022-01-07 07:35:37,65.4167,-52.9,18.79,83,100,8.03
183,Port Lincoln,AU,2022-01-07 07:35:37,-34.7333,135.8667,64.06,72,90,17.43
184,Ostrovnoy,RU,2022-01-07 07:36:38,68.0531,39.5131,21.74,93,100,18.28
185,Half Moon Bay,US,2022-01-07 07:36:38,37.4636,-122.4286,53.51,95,100,0.0
186,Coolum Beach,AU,2022-01-07 07:36:38,-26.5333,153.1,79.11,99,100,13.47
187,Mopti,ML,2022-01-07 07:36:39,14.6667,-4.0,66.51,23,5,7.94
188,Castro,BR,2022-01-07 07:36:39,-24.7911,-50.0119,58.78,95,100,5.41
189,Upernavik,GL,2022-01-07 07:36:39,72.7868,-56.1549,2.17,98,100,7.43
190,Grindavik,IS,2022-01-07 07:36:40,63.8424,-22.4338,35.55,93,75,16.11
191,Locri,IT,2022-01-07 07:36:40,38.2414,16.2623,56.16,79,100,5.84
192,Omaruru,NA,2022-01-07 07:36:41,-21.4333,15.9333,83.35,12,27,2.86
193,Vila,PT,2022-01-07 07:36:41,42.0304,-8.1588,39.33,93,12,5.3
194,Santiago Del Estero,AR,2022-01-07 07:36:41,-27.7951,-64.2615,66.81,46,0,4.56
195,Ust-Tsilma,RU,2022-01-07 07:36:42,65.441,52.1498,8.1,97,100,3.44
196,Saint-Cyr-Sur-Loire,FR,2022-01-07 07:36:42,47.4,0.6667,41.25,84,100,11.5
197,Haines Junction,CA,2022-01-07 07:36:42,60.7522,-137.5108,-6.45,98,100,0.36
198,Bud,US,2022-01-07 07:36:43,39.447,-86.1758,11.46,81,68,11.34
199,Batagay-Alyta,RU,2022-01-07 07:36:43,67.8006,130.4114,-19.89,77,100,1.95
200,Tiksi,RU,2022-01-07 07:36:43,71.6872,128.8694,-21.95,97,22,6.62
201,Lieksa,FI,2022-01-07 07:36:44,63.3167,30.0167,15.19,91,100,10.71
202,Gamba,GA,2022-01-07 07:36:44,-2.65,10.0,80.42,80,16,6.35
203,Camocim,BR,2022-01-07 07:36:44,-2.9022,-40.8411,76.21,88,96,8.28
204,Sabha,LY,2022-01-07 07:36:45,27.0377,14.4283,55.11,27,15,7.94
205,Salo,IT,2022-01-07 07:36:45,45.6086,10.531,39.51,63,88,3.36
206,Qui Nhon,VN,2022-01-07 07:36:45,13.7667,109.2333,76.82,74,4,12.37
207,Kaitangata,NZ,2022-01-07 07:36:46,-46.2817,169.8464,56.03,79,99,9.15
208,Kuah,MY,2022-01-07 07:36:47,6.3265,99.8432,93.18,49,40,10.36
209,Copiapo,CL,2022-01-07 07:36:47,-27.3667,-70.3333,63.72,75,0,2.3
210,Nishihara,JP,2022-01-07 07:36:48,26.1842,127.7558,67.68,64,75,11.5
211,Praya,CV,2022-01-07 07:36:48,14.9215,-23.5087,72.14,73,40,19.57
212,Pemangkat,ID,2022-01-07 07:36:48,1.1667,108.9667,82.56,75,100,7.4
213,Chuy,UY,2022-01-07 07:36:48,-33.6971,-53.4616,63.59,71,20,4.16
214,Olenegorsk,RU,2022-01-07 07:36:49,68.15,33.3,18.77,93,100,8.7
215,Chara,RU,2022-01-07 07:36:49,56.9064,118.2631,1.63,83,32,2.39
216,Kalmunai,LK,2022-01-07 07:36:49,7.4167,81.8167,82.94,72,28,9.06
217,Mayor Pablo Lagerenza,PY,2022-01-07 07:36:50,-19.9309,-60.7718,72.84,51,0,1.68
218,Codrington,AU,2022-01-07 07:36:50,-38.2667,141.9667,62.73,92,100,15.77
219,Port Hardy,CA,2022-01-07 07:36:50,50.6996,-127.4199,35.62,98,100,14.63
220,Novobelokatay,RU,2022-01-07 07:36:51,55.7062,58.9549,33.22,97,100,13.11
221,Gobabis,NA,2022-01-07 07:36:51,-22.45,18.9667,81.86,11,7,3.85
222,Petropavlovsk-Kamchatskiy,RU,2022-01-07 07:36:51,53.0452,158.6483,21.79,58,0,4.47
223,Nyurba,RU,2022-01-07 07:36:38,63.2842,118.3319,-8.28,99,100,3.36
224,Neuquen,AR,2022-01-07 07:36:52,-38.9516,-68.0591,73.72,51,91,4.23
225,Norman Wells,CA,2022-01-07 07:36:52,65.282,-126.8329,-5.67,91,100,18.61
226,Verkhnevilyuysk,RU,2022-01-07 07:36:52,63.4453,120.3167,-11.43,97,100,3.58
227,Ambilobe,MG,2022-01-07 07:36:53,-13.2,49.05,87.6,63,100,5.41
228,Lorengau,PG,2022-01-07 07:36:53,-2.0226,147.2712,82.0,76,100,9.75
229,La Ronge,CA,2022-01-07 07:36:53,55.1001,-105.2842,-28.59,99,20,3.47
230,Isangel,VU,2022-01-07 07:36:54,-19.55,169.2667,80.02,74,58,12.68
231,Quatre Cocos,MU,2022-01-07 07:37:54,-20.2078,57.7625,80.71,79,100,3.0
232,Aklavik,CA,2022-01-07 07:37:54,68.2191,-135.0107,-7.08,90,100,26.93
233,Chapais,CA,2022-01-07 07:37:55,49.7834,-74.8492,-19.66,98,100,2.71
234,Miri,MY,2022-01-07 07:37:55,4.4148,114.0089,86.14,74,40,6.91
235,Olsberg,DE,2022-01-07 07:37:56,51.35,8.5,34.03,20,100,14.61
236,Kysyl-Syr,RU,2022-01-07 07:37:56,63.8986,122.7617,-25.15,97,100,5.48
237,Victoria,HK,2022-01-07 07:33:47,22.2855,114.1577,73.36,73,7,5.99
238,Georgetown,MY,2022-01-07 07:36:18,5.4112,100.3354,89.55,68,40,1.01
239,Pangnirtung,CA,2022-01-07 07:37:57,66.1451,-65.7125,-16.08,99,100,3.74
240,Bairiki,KI,2022-01-07 07:37:57,1.3292,172.9752,82.4,83,40,13.8
241,Katobu,ID,2022-01-07 07:37:57,-4.9408,122.5276,84.96,68,100,2.75
242,Sorland,NO,2022-01-07 07:37:58,67.667,12.6934,31.86,64,75,5.75
243,Mayo,US,2022-01-07 07:37:58,38.8876,-76.5119,33.08,89,100,7.0
244,Ongandjera,NA,2022-01-07 07:37:58,-17.8833,15.0667,82.22,21,94,8.75
245,Rocha,UY,2022-01-07 07:37:58,-34.4833,-54.3333,57.04,89,0,2.77
246,Cabedelo,BR,2022-01-07 07:37:59,-6.9811,-34.8339,75.87,77,95,9.42
247,Torbay,CA,2022-01-07 07:37:59,47.6666,-52.7314,29.57,81,4,8.01
248,Taoudenni,ML,2022-01-07 07:37:59,22.6783,-3.9836,63.12,20,57,6.17
249,Kabalo,CD,2022-01-07 07:38:00,-6.05,26.9167,81.23,73,40,2.89
250,Zabaykalsk,RU,2022-01-07 07:38:00,49.6333,117.3167,1.13,96,100,3.74
251,Nizhyn,UA,2022-01-07 07:38:00,51.048,31.8869,27.36,61,6,16.13
252,Slave Lake,CA,2022-01-07 07:38:01,55.2834,-114.769,-17.64,95,100,3.13
253,Bubaque,GW,2022-01-07 07:38:01,11.2833,-15.8333,78.69,52,7,13.65
254,Padang,ID,2022-01-07 07:38:01,-0.9492,100.3543,87.85,76,100,5.12
255,Tanout,NE,2022-01-07 07:38:02,14.9709,8.8879,71.53,21,97,8.1
256,Mitsamiouli,KM,2022-01-07 07:38:02,-11.3847,43.2844,88.09,70,20,5.75
257,Obigarm,TJ,2022-01-07 07:38:02,38.7173,69.7088,35.62,94,96,1.7
258,Columbus,US,2022-01-07 07:36:51,39.9612,-82.9988,17.46,77,100,4.0
259,Nome,US,2022-01-07 07:38:03,64.5011,-165.4064,4.15,72,0,0.0
260,Coihaique,CL,2022-01-07 07:35:16,-45.5752,-72.0662,60.75,72,100,2.3
261,Touros,BR,2022-01-07 07:38:03,-5.1989,-35.4608,77.9,77,5,9.01
262,San Luis,AR,2022-01-07 07:38:03,-33.295,-66.3356,68.25,38,12,2.51
263,Clarence Town,AU,2022-01-07 07:38:04,-32.5833,151.7833,81.81,71,9,12.75
264,San Patricio,US,2022-01-07 07:38:04,28.017,-97.5169,48.29,46,0,13.67
265,Pedasi,PA,2022-01-07 07:38:04,7.5333,-80.0333,74.07,78,94,15.43
266,San Joaquin,US,2022-01-07 07:38:05,37.9333,-121.3011,54.1,95,100,5.75
267,Flinders,AU,2022-01-07 07:38:05,-34.5833,150.8552,76.8,89,96,7.0
268,Sinnamary,GF,2022-01-07 07:38:05,5.3833,-52.95,76.42,86,70,14.94
269,Lompoc,US,2022-01-07 07:38:06,34.6391,-120.4579,54.12,89,100,5.75
270,Erdenet,MN,2022-01-07 07:38:06,49.0333,104.0833,11.39,79,91,3.58
271,Riom,FR,2022-01-07 07:38:06,45.9167,2.9167,27.79,75,99,5.88
272,Dashitou,CN,2022-01-07 07:38:07,43.3067,128.5114,9.86,85,7,2.26
273,Dieppe,FR,2022-01-07 07:36:21,49.75,1.1667,40.32,93,100,1.99
274,Simao,CN,2022-01-07 07:39:07,22.7886,100.9748,69.69,36,1,5.82
275,Nioro,GM,2022-01-07 07:39:07,13.35,-15.75,68.85,18,35,5.77
276,Riyadh,SA,2022-01-07 07:34:46,24.6877,46.7219,55.54,33,78,1.45
277,Urubicha,BO,2022-01-07 07:39:08,-15.3833,-62.95,71.19,98,77,0.56
